1|4|Test|3|12|36||0
2|4|Test|1|12|12|2026-09-19 17:36:21|0
3|4|Test|1|12|12|2026-09-20 16:21:55|0
4|1|Donunt|10|1|10|2026-09-20 16:58:14|0
5|1|Donunt|5|1|5|2026-09-20 17:03:40|0
6|1|Donunt|5|1|5|2026-09-20 17:12:12|0
7|1|Donunt|5|1|5|2026-09-20 17:23:59|0
8|1|Donunt|5|1|5|2026-09-20 17:24:42|0
9|1|Donunt|5|1|5|2026-09-20 17:27:00|0
10|1|Donunt|5|1|5|2026-09-20 17:32:04|0
11|1|Donunt|5|1|5|2026-09-20 17:48:34|0
12|1|Donunt|5|1|5|2026-09-20 17:49:14|0
13|1|Donunt|3|1|3|2026-09-20 17:49:31|0
14|1|Donunt|5|1|5|2026-09-21 14:39:34|2
15|1|Donunt|5|1|5|2026-09-21 14:48:49|2
16|1|Donunt|2|1|2|2026-09-21 14:49:56|2
17|1|Donunt|5|1|5|2026-09-21 15:01:08|2
18|5||1|3|3|2026-09-21 15:01:47|2
19|1|Donunt|5|1|5|2026-09-21 15:01:52|2
20|1|Donunt|5|1|5|2026-09-21 15:04:02|2
21|1|Donunt|2|1|2|2026-09-21 15:04:06|2
22|1|Donunt|2|1|2|2026-09-21 15:10:11|2
23|1|Donunt|5|1|5|2026-09-21 15:10:16|2
24|1|Donunt|5|1|5|2026-09-21 15:29:11|2
25|2|ced Coffee|5|2.5|12.5|2026-09-21 15:29:18|2
26|1|Donunt|2|1|2|2026-09-21 16:38:37|4
27|2|ced Coffee|2|2.5|5|2026-09-21 16:38:48|4
